CODGEO;P21_POP;P15_POP;SUPERF;NAIS1520;DECE1520;P21_MEN;NAISD22;DECESD22;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P21_EMPLT;P21_EMPLT_SAL;P15_EMPLT;P21_POP1564;P21_CHOM1564;P21_ACT1564;ETTOT22;ETAZ22;ETBE22;ETFZ22;ETGU22;ETGZ22;ETOQ22;ETTEF122;ETTEFP1022
69381;29016;29551;1.51;2340;1016;16222.1874116747;281;162;18783.9938058587;16222.1874116747;975.457301294641;1586.34909288937;4907.11612651848;13351;60;25980;15;17897.7520043152;13924.7809747763;16197.6034344398;21888.611738277;2166.7092586152;17014.4013926418;2178;4;80;57;1869;343;168;1617;291
69382;30485;30436;3.41;2580;1009;16409.0997663117;352;186;21779.8934912341;16409.0997663117;2345.96746870104;3024.82625622142;4595.14140769765;13488;66;28920;12;39333.1033149251;33843.0340300608;33634.1424392834;21952.7905549029;1587.32872360454;15402.9960734936;4472;3;126;95;3958;1133;290;3236;891
69383;101302;101882;6.35;8818;3753;53668.5646806535;1222;648;62110.5726013007;53668.5646806535;4309.36003618247;4132.64788446471;18100.662156922;45329;65;26920;14;93569.7152777522;83640.4178058963;84509.3433344097;72905.7495236105;6097.64360521974;55956.5613738417;5469;3;155;216;4555;869;540;3682;1285
69384;35603;36145;2.93;2760;1814;18146.8660595017;343;341;20753.0012666542;18146.8660595017;769.054834728155;1837.08037242442;8599.48698482739;17101;66;28240;11;15475.3975553769;12515.1474702588;15503.2031802625;23014.1735390133;1824.33114122309;18231.509114577;1361;0;60;50;1117;253;134;1005;162
69385;48711;48182;6.23;3248;2733;23407.7513512832;495;468;26036.3840292189;23407.7513512832;843.92255483782;1784.71012309793;10515.8113286865;19737;63;26130;13;16386.9259414331;13629.9327321934;15737.4942570182;31679.5536962014;2581.82195889443;22621.5451044325;1363;0;47;51;1098;196;167;998;204
69386;52007;50596;3.77;3747;2233;26664.4395729335;538;390;31816.9338042631;26664.4395729335;1989.38297869323;3163.11125263633;10519.8978839524;23765;71;33050;9;37529.7667623368;31055.0695658757;35391.9861206111;35023.8217397479;2331.98273426591;26418.0955897023;4154;0;117;179;3444;582;414;3112;680
69387;85897;81480;9.75;8118;2685;46895.823055086;1169;452;55008.2571155076;46895.823055086;3556.40810449282;4556.02595592884;13006.548609977;37187;60;24410;16;60097.9532908188;54097.7115615747;50214.6320631802;64186.3960177884;5382.31537884146;47041.9679086044;3838;2;170;226;3036;507;404;2538;906
69388;86326;85229;6.67;8123;3908;43938.7874681143;1117;602;49135.5354977362;43938.7874681143;1454.59836315305;3742.14966646882;12759.47361135;36868;52;21100;23;34896.5554665612;31095.1778894764;33143.8370970244;59603.5628835129;5793.94803279579;42287.3360939165;1940;1;70;170;1320;292;379;1358;392
69389;52903;49774;7.25;5556;2317;25621.9607458261;786;379;30365.5188086259;25621.9607458261;1421.58372556763;3321.97433723209;8508.58910075759;23215;54;21650;22;34401.5804765003;30280.0490182351;29990.1260708078;35568.8426783449;3375.31496814049;26410.1135710743;2457;3;96;126;1960;381;272;1605;601
